node_1,node_2,edge,chunk_id,node_3,node_4,node_5,edge1,count
riley,inside out,"Riley is the main character of the movie, and Inside Out represents the five emotions (joy, sadness, anger, disgust, and fear) that control her thoughts and actions.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
pete docter,inside out,Pete Docter is the director of Inside Out. The movie's concept was conceived by him after observing changes in his daughter's personality as she grew older.,c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
amy poehler,riley,Amy Poehler voices Riley in the movie. Riley is the main character and represents a young girl who is going through changes as her family relocates.,c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
joy,sadness,"Joy and sadness are two of the five emotions that control Riley's thoughts and actions. They sometimes have conflicting opinions on how to handle situations, but they both play important roles in Riley's emotional well-being.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
ronnie del carmen,inside out,"Ronnie del Carmen co-directed Inside Out with Pete Docter. He worked closely with Docter to develop the story and characters, and also consulted psychologists and neuroscientists to ensure accuracy.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
phyllis smith,sadness,"Phyllis Smith voices Sadness in the movie. She is one of the five emotions that control Riley's thoughts and actions, and she often finds herself at odds with Joy.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
richard kind,anger,"Richard Kind voices Anger in the movie. He is one of the five emotions that control Riley's thoughts and actions, and he sometimes has a hard time controlling his temper.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
bill hader,fear,"Bill Hader voices Fear in the movie. He is one of the five emotions that control Riley's thoughts and actions, and he sometimes has a hard time facing his fears.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
mindy kaling,disgust,"Mindy Kaling voices Disgust in the movie. She is one of the five emotions that control Riley's thoughts and actions, and she sometimes has a hard time dealing with unpleasant situations.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
kaitlyn dias,riley,"Kaitlyn Dias voices young Riley in the movie. She is the main character at the beginning of the story, before her family relocates.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
diane lane,riley's mother,"Diane Lane voices Riley's mother in the movie. She is a significant figure in Riley's life, and her actions often have an impact on Riley's emotions.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
kyle maclachlan,riley's father,"Kyle MacLachlan voices Riley's father in the movie. He is a significant figure in Riley's life, and his actions often have an impact on Riley's emotions.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
joy,riley andersen,"Leads and is a part of Riley's personality, influencing her actions through emotions.",317a112271104f4d86104bd7bfe16177,,,,,4
anger,riley andersen,"Is a part of Riley's personality, influencing her actions through emotions.",317a112271104f4d86104bd7bfe16177,,,,,4
fear,riley andersen,"Is a part of Riley's personality, influencing her actions through emotions.",317a112271104f4d86104bd7bfe16177,,,,,4
disgust,riley andersen,"Is a part of Riley's personality, influencing her actions through emotions.",317a112271104f4d86104bd7bfe16177,,,,,4
sadness,riley andersen,"Is a part of Riley's personality, influencing her actions through emotions. Joy perceives Sadness as an unnecessary burden for Riley.",317a112271104f4d86104bd7bfe16177,,,,,4
joy,core memories,"Represents the most important aspects of Riley's personality, taking the form of floating islands in her mind. Joy acts as the leader of these core memories.",317a112271104f4d86104bd7bfe16177,,,,,4
anger,core memories,"Represents an important aspect of Riley's personality, taking the form of floating islands in her mind.",317a112271104f4d86104bd7bfe16177,,,,,4
fear,core memories,"Represents an important aspect of Riley's personality, taking the form of floating islands in her mind.",317a112271104f4d86104bd7bfe16177,,,,,4
disgust,core memories,"Represents an important aspect of Riley's personality, taking the form of floating islands in her mind.",317a112271104f4d86104bd7bfe16177,,,,,4
sadness,core memories,"Represents an important aspect of Riley's personality, taking the form of floating islands in her mind. Joy perceives Sadness as an unnecessary burden for Riley.",317a112271104f4d86104bd7bfe16177,,,,,4
orbs,memories,"Memories are stored as colored orbs in the mind of Riley Andersen, and sent into long-term memory each night.",317a112271104f4d86104bd7bfe16177,,,,,4
riley,san francisco,"At age 11, Riley moves from Minnesota to San Francisco for her father's new job.",2006b96144aa4176a228220c09795cd5,,,,,4
riley,minnesota,Riley moves from Minnesota to San Francisco for her father's new job.,2006b96144aa4176a228220c09795cd5,,,,,4
riley,father,"Riley's father has a new job, causing Riley to move to San Francisco.",2006b96144aa4176a228220c09795cd5,,,,,4
riley,new house,The new house is mentioned as being cramped and old in the context.,2006b96144aa4176a228220c09795cd5,,,,,4
pizza parlor,broccoli,"The pizza parlor only serves pizza topped with broccoli, which Riley dislikes.",2006b96144aa4176a228220c09795cd5,,,,,4
riley,joy,Riley experiences poor memories associated with Joy due to Sadness's actions.,2006b96144aa4176a228220c09795cd5,,,,,4
sadness,joy,"Sadness retroactively saddens joyous memories, causing Riley to cry in front of her class and Sadness's first sad core memory.",2006b96144aa4176a228220c09795cd5,,,,,4
joy,pneumatic tube,"Joy tries to dispose of the memory using a pneumatic tube, but accidentally knocks loose the other core memories during a struggle with Sadness.",2006b96144aa4176a228220c09795cd5,,,,,4
headquarters,core memories,The core memories are dislodged and subsequently sucked out of Headquarters due to Joy's actions and Sadness's interference.,2006b96144aa4176a228220c09795cd5,,,,,4
anger,happy core memories,"In the absence of Joy, Anger tries to make happy core memories, but the results are disastrous, distancing Riley from her parents, peers, and hobbies.",2006b96144aa4176a228220c09795cd5,,,,,4
fear,happy core memories,"In the absence of Joy, Fear tries to make happy core memories, but the results are disastrous, distancing Riley from her parents, peers, and hobbies.",2006b96144aa4176a228220c09795cd5,,,,,4
disgust,happy core memories,"In the absence of Joy, Disgust tries to make happy core memories, but the results are disastrous, distancing Riley from her parents, peers, and hobbies.",2006b96144aa4176a228220c09795cd5,,,,,4
core memories,anger,"Anger gradually causes Riley's personality islands to crumble and fall into the 'Memory Dump', where things fade to non-existence as they are forgotten.",2006b96144aa4176a228220c09795cd5,,,,,4
joy,sadness,"Navigating the vast long-term memory area, Joy and Sadness encounter Bing Bong, Riley's imaginary friend, who suggests riding the 'train of thought' back to Headquarters. Anger, intending to restore Riley's happiness, convinces Disgust and Fear that Riley should run away to Minnesota, where her happy memories were formed. After several adventures and mishaps, Joy, Sadness, and Bing Bong catch the train, but it is entirely derailed when another island collapses.",8037bfa167ee49ff86f7a08418e07028,,,,,4
joy,bing bong,"Anger, intending to restore Riley's happiness, convinces Disgust and Fear that Riley should run away to Minnesota, where her happy memories were formed. After several adventures and mishaps, Joy, Sadness, and Bing Bong catch the train, but it is entirely derailed when another island collapses.",8037bfa167ee49ff86f7a08418e07028,,,,,4
joy,memory dump,"Joy breaks down crying and she discovers a sad memory of losing a hockey game that turned happy when Riley's parents and friends comforted her, and realizes Sadness's purpose in alerting others when Riley is emotionally overwhelmed and needs help. Joy and Bing Bong try to use his song-fueled wagon rocket to escape the Memory Dump, but are unable to fully ascend due to their combined weight.",8037bfa167ee49ff86f7a08418e07028,,,,,4
bing bong,memory dump,"Joy and Bing Bong try to use his song-fueled wagon rocket to escape the Memory Dump, but are unable to fully ascend due to their combined weight.",8037bfa167ee49ff86f7a08418e07028,,,,,4
bing bong,joy,"Bing Bong jumps out of the wagon to save Joy, and fades away in the Memory Dump, forgotten.",8037bfa167ee49ff86f7a08418e07028,,,,,4
anger,riley,"Anger's idea disables the console, putting Riley into depression",fb226fc86adf4d4eab90f1b2795462ff,,,,,4
joy,sadness,"Joy reunites with Sadness,",fb226fc86adf4d4eab90f1b2795462ff,,,,,4
sadness,console,"Sadness is able to reactivate the console,",fb226fc86adf4d4eab90f1b2795462ff,,,,,4
riley,minnesota,"Riley boards a bus to Minnesota,",fb226fc86adf4d4eab90f1b2795462ff,,,,,4
sadness,riley's parents,"Sadness returns Riley to her parents,",fb226fc86adf4d4eab90f1b2795462ff,,,,,4
joy,sadness,"To the surprise of the others, Joy hands control of the console to Sadness,",fb226fc86adf4d4eab90f1b2795462ff,,,,,4
riley's parents,san francisco,"Riley's parents tell Riley they also miss Minnesota,",fb226fc86adf4d4eab90f1b2795462ff,,,,,4
joy,sadness,"Joy and Sadness work the console together,",fb226fc86adf4d4eab90f1b2795462ff,,,,,4
riley's emotions,riley's personality islands,"Riley's emotions admire her new personality islands,",fb226fc86adf4d4eab90f1b2795462ff,,,,,4
core memories,emotions,"Core memories contain a mixture of emotions,",fb226fc86adf4d4eab90f1b2795462ff,,,,,4
console,riley's new hobbies,"Riley acquires new hobbies alongside her old ones,",fb226fc86adf4d4eab90f1b2795462ff,,,,,4
console,emotions,"The newly expanded console has enough room for all of them to work together as a team,",fb226fc86adf4d4eab90f1b2795462ff,,,,,4
console,puberty,They admit some slight concern over a large red alarm marked puberty.,fb226fc86adf4d4eab90f1b2795462ff,,,,,4
development,inside out,green-lit in October 2009,5c593d0eb8644d22b11fd1b99e5f5386,,,,,4
pete docter,elie,"noticed his daughter Elie becoming ""more quiet and reserved""",5c593d0eb8644d22b11fd1b99e5f5386,,,,,4
pete docter,riley,began to wonder what was happening internally,5c593d0eb8644d22b11fd1b99e5f5386,,,,,4
pete docter,development,"green-lit in October 2009 after noticing his daughter Elie becoming ""more quiet and reserved"" and began to wonder what was happening internally",5c593d0eb8644d22b11fd1b99e5f5386,,,,,4
pete docter,ronnie del carmen,"invited Ronnie del Carmen, who had worked as story supervisor on Finding Nemo (2003) and Up (2009), to join the project as co-director",5c593d0eb8644d22b11fd1b99e5f5386,,,,,4
ronnie del carmen,pete docter,joined the project as co-director after being invited by Pete Docter,5c593d0eb8644d22b11fd1b99e5f5386,,,,,4
psychologists,inside out,consulted for accuracy,5c593d0eb8644d22b11fd1b99e5f5386,,,,,4
paul ekman,development,conferred with psychologist Paul Ekman,5c593d0eb8644d22b11fd1b99e5f5386,,,,,4
dacher keltner,inside out,"conferred with Dacher Keltner, professor of psychology at the University of California, Berkeley, for accuracy",5c593d0eb8644d22b11fd1b99e5f5386,,,,,4
riley's mental landscape,neuroscientists,consulted while designing,5c593d0eb8644d22b11fd1b99e5f5386,,,,,4
dna strands,riley's mental landscape,took cues from DNA strands,5c593d0eb8644d22b11fd1b99e5f5386,,,,,4
neuronal flashes,riley's mental landscape,took cues from neuronal flashes,5c593d0eb8644d22b11fd1b99e5f5386,,,,,4
keltner and ekman,inside out,"emphasizes the ways emotions organize our thoughts and social lives, especially the role of sadness in fostering connections",5c593d0eb8644d22b11fd1b99e5f5386,,,,,4
anger,fear,"In early versions of the film, surprise was considered as one of the emotions. However, due to its similarity with fear, it was removed from the final list.",c497becf4db54e2f9f98112e3e8a3982,,,,,4
ekman,docter,"Ekman supplied a list of emotions, including anger, fear, sadness, disgust, contempt, surprise, and happiness, to the film's production team. Docter then decided to remove surprise due to its similarity with fear and renamed happiness as Optimism, which later became Joy.",c497becf4db54e2f9f98112e3e8a3982,,,,,4
lasseter,film's development process,"During the film's five-and-a-half year development process, Chief Creative Officer John Lasseter offered little input due to his focus on restructuring Walt Disney Animation Studios. This was the first Pixar film to be produced without the involvement of Steve Jobs, who had died in 2011.",c497becf4db54e2f9f98112e3e8a3982,,,,,4
eggleston,film's development process,"Ralph Eggleston, Pixar's production designer since 1992, stated that the film's development process was the hardest and longest he had ever worked on.",c497becf4db54e2f9f98112e3e8a3982,,,,,4
inside out,docter,"In 2010, Docter and the filmmaking team met to discuss aspects of Inside Out.",d93233df96fb4f7fa221317e41ea5960,,,,,4
inside out,filmmaking team,"Docter and the filmmaking team met to discuss aspects of Inside Out, including its setting, rules, and reels.",d93233df96fb4f7fa221317e41ea5960,,,,,4
2010,inside out,"In 2010, Docter and the filmmaking team met to discuss aspects of Inside Out.",d93233df96fb4f7fa221317e41ea5960,,,,,4
del carmen,influence,Del Carmen described his upbringing as a significant influence,d93233df96fb4f7fa221317e41ea5960,,,,,4
riley,ice-hockey player,"due to that sport's popularity in Minnesota, Del Carmen had the idea of making Riley an avid ice-hockey player.",d93233df96fb4f7fa221317e41ea5960,,,,,4
michael arndt,screenwriter,Screenwriter Michael Arndt spent a year on the script before leaving the project in early 2011.,d93233df96fb4f7fa221317e41ea5960,,,,,4
docter,josh cooley and meg lefauve,"Along with Docter, Josh Cooley and Meg LeFauve were credited as screenwriters for its rewrites.",d93233df96fb4f7fa221317e41ea5960,,,,,4
riley,females age 11 to 17,"Research found that females aged 11 to 17 were more attuned to expressions and emotions than younger girls. This discovery led to the decision that Riley, the protagonist of Inside Out, was not just any main character but specifically a girl.",d9a7edae1d404688af6798f6f754c095,,,,,4
riley,lead emotion (female),"Inside Out's focus is on Riley, a girl. Because of this, the lead emotion character was assigned as female to reflect Riley's gender.",d9a7edae1d404688af6798f6f754c095,,,,,4
other emotion characters,male and female,"To promote diverse input, Docter decided that some of the emotion characters in Inside Out were assigned as male, while others were assigned as female.",d9a7edae1d404688af6798f6f754c095,,,,,4
dinnertime scene,audience engagement,"The creative leaders at Pixar's 'brains trust' spent over three years improving the dinnertime scene in Inside Out to ensure that it remained engaging and entertaining for audiences, while also advancing the story and humor.",d9a7edae1d404688af6798f6f754c095,,,,,4
joy,intangibility,"As an intangible character, Joy is vulnerable and unapologetically positive because she represents the emotion of happiness in Riley's mind.",c0a8843991b1467db5ccadc3cc845a92,,,,,4
joy,contrast,"Joy's displeasure in Inside Out's design team's research led to a deeper exploration of her personality traits, which were found to be tomboyish and mischievous by designer Albert Lozano.",c0a8843991b1467db5ccadc3cc845a92,,,,,4
riley,personality islands,The concept of personality islands in Inside Out's development integrates the mind world's geography and story by allowing Riley's unique personality traits to be represented as distinct islands within her mind.,c0a8843991b1467db5ccadc3cc845a92,,,,,4
bing bong,fading of childhood,"Richard Kind defined his character, Bing Bong, in Inside Out's development as 'the fading of childhood,' as Bing Bong represents the memories and experiences that Riley is forgetting as she grows older.",c0a8843991b1467db5ccadc3cc845a92,,,,,4
riley,idea fields,"In one instance during Inside Out's development, the characters cultivated ideas after falling to 'Idea Fields,' which emerged as a plot idea when the original idea of Riley wanting the lead role in a Thanksgiving Day pageant was found to be too unfamiliar.",c0a8843991b1467db5ccadc3cc845a92,,,,,4
riley,exiled entrourage of characters,"In another instance during Inside Out's development, Bing Bong recruited at a large, exiled entourage of characters from Riley's childhood, as this idea emerged when the team was seeking something to replace the plot idea of Riley wanting the lead role in a Thanksgiving Day pageant.",c0a8843991b1467db5ccadc3cc845a92,,,,,4
diane disney miller,story prioritization,"In October 2011, Diane Disney Miller convinced Pete Docter to reduce Inside Out's distractions and reprioritize the story.",c0a8843991b1467db5ccadc3cc845a92,,,,,4
personality traits,research,The design team in Inside Out's development researched more of Riley's personality's distinct directions after Pete Docter became concerned over Joy's displeasure.,c0a8843991b1467db5ccadc3cc845a92,,,,,4
joy,tomboyishness,"Designer Albert Lozano found that Joy, as a tomboyish character in Inside Out's development, was tomboyish and mischievous.",c0a8843991b1467db5ccadc3cc845a92,,,,,4
joy,manipulation,"The idea of Joy's potential to excessively manipulate youth persisted in Inside Out's development, setting off Riley's 'social storms'.",c0a8843991b1467db5ccadc3cc845a92,,,,,4
pete docter,concern,Pete Docter became concerned over Joy's displeasure in Inside Out's development.,c0a8843991b1467db5ccadc3cc845a92,,,,,4
joy,sadness,"Initially, Joy and Fear got lost together in an early version of the film, but this was deemed problematic by director Pete Docter. Instead, Sadness replaced Fear to have a 'much juicier' role, as Docter believed that Joy's interaction with Sadness would develop her characterization before deciding to integrate emotions and relationships within the film.",f8a517192cfa4934a959598c9dc1139d,,,,,4
joy,emotions,"Director Pete Docter altered an altercation between Joy and Sadness due to a lack of emotional ending. As a result, Islands of Friendship and Personality became Joy and Sadness's outings in the film to maintain its continuity.",f8a517192cfa4934a959598c9dc1139d,,,,,4
phyllis smith,sadness,"Phyllis Smith, who was initially concerned about her attempt to voice a role in an animated film, was cast as Sadness after Rivera watched a lunch scene in Bad Teacher (2011) and said, 'I think we found our Sadness'. Smith saw her natural voice following her first recording session.",4893db74a0eb44b69af56178812b891f,,,,,4
poehler,last character to be cast,Poehler was the last character to be cast in the emotions film.,4893db74a0eb44b69af56178812b891f,,,,,4
bing bong,joy's characterization,Docter described Bing Bong as a contribution of Joy's characterization.,4893db74a0eb44b69af56178812b891f,,,,,4
kind,bing bong,Kind was Docter's perfect choice for Bing Bong.,4893db74a0eb44b69af56178812b891f,,,,,4
kind,innocence,Kind attempted to convey the same 'sort of innocence' he had conveyed in his previous Pixar roles.,4893db74a0eb44b69af56178812b891f,,,,,4
bing bong,oliver hardy,"Kind modeled Bing Bong's personality and appearance on Oliver Hardy,",4893db74a0eb44b69af56178812b891f,,,,,4
bing bong,jimmy durante,"Kind modeled Bing Bong's personality and appearance on Jimmy Durante,",4893db74a0eb44b69af56178812b891f,,,,,4
bing bong,john candy,"Kind modeled Bing Bong's personality and appearance on John Candy, especially Candy's performance in Planes, Trains, and Automobiles (1987).",4893db74a0eb44b69af56178812b891f,,,,,4
disgust,mindy kaling,Actress Mindy Kaling voiced the character of Disgust in the movie Inside Out. She attended six recording sessions within four hours to voice the character before being cast in the role.,2f19006543164cd7a85206dbca10067d,,,,,4
anger,lewis black,"Comedian Lewis Black exemplified the character of Anger in the movie Inside Out. The filmmakers cast him after keeping him in mind, having heard his distinctive voice.",2f19006543164cd7a85206dbca10067d,,,,,4
riley,kaitlyn dias,Actress Kaitlyn Dias was cast as Riley in the movie Inside Out. The filmmakers described her performance as 'touching' and praised its 'heartbreaking honesty.',2f19006543164cd7a85206dbca10067d,,,,,4
bill hader,fear,"Actor Bill Hader played the character of Fear in the movie Inside Out. Before his stay on set ended, he contacted Tina Fey and revealed that his role was secret, reaffirming his involvement in the movie Inside Out.",2f19006543164cd7a85206dbca10067d,,,,,4
eggleston,design briefs,tasked with outlining the mind and real worlds through design briefs,0c1e18dc375d4ac390bb94d0f135fcdb,,,,,4
soft surfaces,mind world,incorporates soft surfaces,0c1e18dc375d4ac390bb94d0f135fcdb,,,,,4
increased use of saturated colors,mind world,incorporates increased use of saturated colors,0c1e18dc375d4ac390bb94d0f135fcdb,,,,,4
contrasty light,mind world,incorporates contrasty light,0c1e18dc375d4ac390bb94d0f135fcdb,,,,,4
soft surfaces,opposite attributes,real world uses opposite attributes,0c1e18dc375d4ac390bb94d0f135fcdb,,,,,4
electrochemical,designing how to depict the mind's interior,"concentrated on the word ""electrochemical""",0c1e18dc375d4ac390bb94d0f135fcdb,,,,,4
animation,inside out,"Inside Out is an animation created by about 48 animators, including supervisors Shawn Krause and Navone, and director Jamie Roe. The animation took a year and a half to complete.",26c4fe7056da427cb3a5053092568e14,,,,,4
inside out,year and a half,Animation of Inside Out took a year and a half to complete.,26c4fe7056da427cb3a5053092568e14,,,,,4
48 animators,inside out,"About 48 animators, including supervisors Shawn Krause and Navone, and director Jamie Roe were involved in the production of Inside Out.",26c4fe7056da427cb3a5053092568e14,,,,,4
animator,inside out,"Animators, including supervisors Shawn Krause and Navone, and director Jamie Roe were involved in the production of Inside Out.",26c4fe7056da427cb3a5053092568e14,,,,,4
director,inside out,Director Jamie Roe was involved in the production of Inside Out.,26c4fe7056da427cb3a5053092568e14,,,,,4
supervisor,inside out,Supervisors Shawn Krause and Navone were involved in the production of Inside Out.,26c4fe7056da427cb3a5053092568e14,,,,,4
tex avery,docter,"Docter imagined with emotions for characters, they could 'push the level of caricature' to both design and style of movement. Docter was inspired by Tex Avery.",26c4fe7056da427cb3a5053092568e14,,,,,4
chuck jones,docter,"Docter imagined with emotions for characters, they could 'push the level of caricature' to both design and style of movement. Docter was inspired by Chuck Jones.",26c4fe7056da427cb3a5053092568e14,,,,,4
character,inside out,Docter proposed for 3D models using desktop computers after the characters' forms were finalized in Inside Out.,26c4fe7056da427cb3a5053092568e14,,,,,4
wacom cintiq,character,"An artist drew over characters in Inside Out using a Wacom Cintiq during dailies to push the graphic caricature of each character rather than sticking to the rigid behavior of each RenderMan model, as suggested by Docter.",26c4fe7056da427cb3a5053092568e14,,,,,4
desktop computers,character,The filmmakers studied dailies until Docter gave the film's finalized shots approval on lighting and rendering using desktop computers for the characters' 3D models in Inside Out.,26c4fe7056da427cb3a5053092568e14,,,,,4
animator,crowd simulation,Two animation teams were assembled: one for the abstract sequence and another involving crowd simulation for the character groupings in Inside Out.,26c4fe7056da427cb3a5053092568e14,,,,,4
